id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords
12008,54ME,small_airport,Cliff Dow Airport,43.949444,-70.320278,415,NA,US,US-ME,New Gloucester,no,54ME,,54ME,,,
12013,54NH,heliport,Flying Ridge Heliport,43.691881,-71.490959,785,NA,US,US-NH,Center Harbor,no,54NH,,54NH,,,
521581,54VT,heliport,Renaud Heliport,42.741097,-72.515141,379,NA,US,US-VT,Vernon,no,54VT,,54VT,,,
12050,55ME,small_airport,HIghland View Field,44.318056,-69.138333,600,NA,US,US-ME,Searsmont,no,55ME,,55ME,,,
349877,55NH,heliport,Oxbow Heliport,44.008028,-72.089611,475,NA,US,US-NH,Piermont,no,55NH,,55NH,,,
505267,56ME,small_airport,Russell Field,46.626398,-67.843934,748,NA,US,US-ME,Easton,no,56ME,,56ME,,,
345715,56NH,small_airport,Therriaults Landing Airport,43.481111,-71.056861,675,NA,US,US-NH,Middleton,no,56NH,,56NH,,,
12118,57B,small_airport,Islesboro Airport,44.302502,-68.910599,92,NA,US,US-ME,Islesboro,yes,57B,,57B,,https://en.wikipedia.org/wiki/Islesboro_Airport,
332085,57MA,heliport,Nantucket Cottage Hospital Helipad,41.275778,-70.101833,38,NA,US,US-MA,Nantucket,no,57MA,,57MA,,,
12135,57ME,small_airport,Dyer's Landing Airport,43.91780090332031,-70.85440063,441,NA,US,US-ME,Fryeburg,no,57ME,,57ME,,,
505268,57NH,heliport,Berry Pond Heliport,43.763025,-71.389231,575,NA,US,US-NH,Moultonborough,no,57NH,,57NH,,,
356201,57VT,heliport,Porter Medical Center Heliport,44.001713,-73.167958,388,NA,US,US-VT,Middlebury,no,57VT,,57VT,,,
12177,58MA,heliport,Boston Scientific Marlboro Heliport,42.361698150634766,-71.5089035,390,NA,US,US-MA,Marlboro,no,58MA,,58MA,,,
